Auto_payment_Id,Bill_id
100051,1000000131
100052,1000000127
100053,1000000061
100054,1000000166
100055,1000000055
100056,1000000111
100057,1000000120
100058,1000000101
100059,1000000067
100060,1000000199
100061,1000000039
100062,1000000181
100063,1000000161
100064,1000000124
100065,1000000169
100066,1000000179
100067,1000000155
100068,1000000136
100069,1000000041
100070,1000000087
100071,1000000029
100072,1000000048
100073,1000000190
100074,1000000144
100075,1000000071
100076,1000000095
100077,1000000065
100078,1000000160
100079,1000000081
100080,1000000170
100081,1000000027
100082,1000000100
100083,1000000198
100084,1000000104
100085,1000000187
100086,1000000035
100087,1000000197
100088,1000000180
100089,1000000126
100090,1000000011
100091,1000000172
100092,1000000068
100093,1000000129
100094,1000000163
100095,1000000130
100096,1000000040
100097,1000000024
100098,1000000121
100099,1000000110
100100,1000000168
